state,date,ML,High_90,Low_90
EC,2020-04-11,3.84,6.34,0.78
EC,2020-04-12,3.35,5.12,1.25
EC,2020-04-13,3.13,4.5200000000000005,1.56
EC,2020-04-14,2.73,3.89,1.46
EC,2020-04-15,2.31,3.3000000000000003,1.19
EC,2020-04-16,1.92,2.81,0.9
EC,2020-04-17,1.67,2.5100000000000002,0.74
EC,2020-04-18,1.46,2.24,0.56
EC,2020-04-19,1.44,2.18,0.5700000000000001
EC,2020-04-20,1.45,2.18,0.64
EC,2020-04-21,1.51,2.19,0.71
EC,2020-04-22,1.53,2.21,0.8
EC,2020-04-23,1.54,2.16,0.8
EC,2020-04-24,1.52,2.12,0.81
EC,2020-04-25,1.45,2.06,0.8
EC,2020-04-26,1.3800000000000001,1.96,0.73
EC,2020-04-27,1.26,1.83,0.62
EC,2020-04-28,1.18,1.74,0.54
EC,2020-04-29,1.1500000000000001,1.71,0.52
EC,2020-04-30,1.1400000000000001,1.69,0.5
EC,2020-05-01,1.18,1.73,0.55
EC,2020-05-02,1.2,1.75,0.58
EC,2020-05-03,1.18,1.73,0.5700000000000001
EC,2020-05-04,1.2,1.74,0.59
EC,2020-05-05,1.2,1.74,0.6
EC,2020-05-06,1.3,1.82,0.6900000000000001
EC,2020-05-07,1.47,2.0,0.9
EC,2020-05-08,1.68,2.17,1.1
EC,2020-05-09,1.86,2.35,1.34
EC,2020-05-10,1.85,2.3000000000000003,1.34
EC,2020-05-11,1.67,2.1,1.18
EC,2020-05-12,1.49,1.93,1.04
EC,2020-05-13,1.34,1.75,0.87
EC,2020-05-14,1.25,1.6500000000000001,0.77
EC,2020-05-15,1.28,1.7,0.8300000000000001
EC,2020-05-16,1.32,1.72,0.85
EC,2020-05-17,1.34,1.73,0.87
EC,2020-05-18,1.29,1.68,0.8300000000000001
EC,2020-05-19,1.22,1.61,0.77
EC,2020-05-20,1.16,1.55,0.71
EC,2020-05-21,1.17,1.55,0.71
EC,2020-05-22,1.1500000000000001,1.55,0.72
EC,2020-05-23,1.1400000000000001,1.53,0.7000000000000001
EC,2020-05-24,1.1,1.49,0.66
EC,2020-05-25,1.05,1.44,0.61
EC,2020-05-26,1.01,1.41,0.58
FS,2020-05-17,0.16,5.1000000000000005,0.0
FS,2020-05-18,1.67,4.34,0.0
FS,2020-05-19,1.42,3.61,0.0
FS,2020-05-20,1.31,3.2,0.0
FS,2020-05-21,1.24,2.93,0.0
FS,2020-05-22,1.2,2.74,0.0
FS,2020-05-23,1.17,2.59,0.0
FS,2020-05-24,0.99,2.36,0.0
FS,2020-05-25,0.8300000000000001,2.19,0.0
FS,2020-05-26,0.8300000000000001,2.15,0.0
GP,2020-03-17,2.84,5.19,0.07
GP,2020-03-18,2.62,4.44,0.47000000000000003
GP,2020-03-19,2.3000000000000003,3.8200000000000003,0.59
GP,2020-03-20,2.34,3.65,0.89
GP,2020-03-21,2.65,3.74,1.41
GP,2020-03-22,2.59,3.54,1.55
GP,2020-03-23,2.64,3.47,1.75
GP,2020-03-24,2.34,3.0500000000000003,1.51
GP,2020-03-25,2.21,2.88,1.49
GP,2020-03-26,2.02,2.62,1.33
GP,2020-03-27,1.82,2.4,1.19
GP,2020-03-28,1.62,2.17,1.01
GP,2020-03-29,1.45,1.98,0.85
GP,2020-03-30,1.22,1.76,0.65
GP,2020-03-31,1.06,1.6,0.49
GP,2020-04-01,0.89,1.42,0.3
GP,2020-04-02,0.8200000000000001,1.34,0.2
GP,2020-04-03,0.79,1.33,0.18
GP,2020-04-04,0.78,1.31,0.14
GP,2020-04-05,0.8300000000000001,1.3800000000000001,0.18
GP,2020-04-06,0.88,1.43,0.2
GP,2020-04-07,0.9400000000000001,1.51,0.26
GP,2020-04-08,0.97,1.56,0.31
GP,2020-04-09,1.01,1.59,0.33
GP,2020-04-10,1.03,1.6,0.34
GP,2020-04-11,1.05,1.6400000000000001,0.39
GP,2020-04-12,1.02,1.6,0.35000000000000003
GP,2020-04-13,1.06,1.6300000000000001,0.38
GP,2020-04-14,1.12,1.69,0.45
GP,2020-04-15,1.22,1.8,0.58
GP,2020-04-16,1.3,1.85,0.65
GP,2020-04-17,1.37,1.93,0.76
GP,2020-04-18,1.36,1.9100000000000001,0.77
GP,2020-04-19,1.27,1.8,0.68
GP,2020-04-20,1.1500000000000001,1.67,0.56
GP,2020-04-21,1.04,1.55,0.44
GP,2020-04-22,0.9500000000000001,1.49,0.38
GP,2020-04-23,0.9400000000000001,1.48,0.36
GP,2020-04-24,0.93,1.47,0.34
GP,2020-04-25,0.93,1.48,0.34
GP,2020-04-26,0.9400000000000001,1.49,0.34
GP,2020-04-27,0.9400000000000001,1.48,0.32
GP,2020-04-28,1.01,1.55,0.38
